20000 100000
14623 13582 94078
640 1132 110826
6825 4895 141874
19096 15535 26587
13814 14357 155948
9717 3697 182453
12257 18466 162511
4852 9319 168122
13940 3203 183284
10474 893 85569
12653 3423 34858
4376 489 188648
10852 2237 79646
18763 13360 92969
5972 16569 117752
11206 19389 91733
374 6285 179671
15452 1375 120598
14969 12430 16681
3483 14128 6220
17556 18726 164415
19965 15555 67811
6299 11020 55311
2802 4617 176390
12698 17837 149966
1312 8029 61433
16731 10199 45201
5155 4526 27155
18776 12371 126554
71 19832 23757
1820 14012 44421
304 1363 147181
4771 14737 126013
11823 8408 103040
19004 1537 58020
6654 6516 62499
4191 3262 109787
11901 11767 47578
18007 1367 136222
19867 18488 130791
1112 2513 16138
16674 3440 160427
14859 15501 4694
8353 1150 68285
14136 15935 135763
2278 716 161926
1254 834 195376
5246 652 102409
8226 3577 33630
10687 2233 27171
1309 278 12751
471 18050 154299
15180 2141 27762
10253 6322 138265
4566 17094 110691
17048 3646 116961
11348 12718 121954
5548 9985 2557
11286 17923 129190
13681 13690 170386
16361 8202 160780
18341 5329 104547
9990 19805 126447
6320 2208 9595
9946 5142 139779
8138 6936 134071
8078 19545 27944
4710 14598 4112
1674 2809 181014
18019 1498 26943
252 16813 14370
5328 2381 118552
5426 4436 193456
5450 18944 158264
10646 5332 63952
3403 12219 76637
1721 18442 30246
11743 7518 198290
10643 6498 101272
2044 4698 160887
10270 992 43352
14553 4067 163154
9072 734 178893
9995 2904 76605
7822 19147 9974
8338 2539 63756
3583 327 49793
19626 17014 63951
9785 1150 170285
2206 17729 88386
563 8933 35904
10679 14277 143626
782 6415 54754
10696 3464 87908
19632 14445 128479
16843 14354 140946
8086 14166 25187
14872 11104 185133
10902 19872 189115
2509 19211 124285
2662 6521 51559
14678 10533 103775
14548 15424 160006
13015 13834 85674
7925 19279 40626
10340 9994 18915
5137 16097 33795
1739 10079 193957
18437 19008 162147
3955 14508 104264
5918 7064 74907
6867 14474 58813
1350 5671 132305
19204 6034 186207
14160 7018 66448
16475 12823 160941
15966 4987 146391
6281 14243 89272
13586 9900 100758
5229 18659 72555
3317 12323 105658
4375 10960 104771
1224 18010 46537
704 8579 86809
1260 15965 170152
12491 6784 47694
12830 12807 139329
19900 12956 121549
8341 14602 73065
17975 2177 415
18976 1561 80713
7534 7246 110151
18917 14938 6554
527 4931 181558
2699 7542 87159
19475 8482 14199
1837 10366 46557
9868 6721 187626
409 13134 140765
2316 16619 154929
17960 622 89365
2708 3856 29221
2003 6414 114406
4782 218 23222
6806 15833 44373
9885 7562 35973
11495 10199 135940
19012 6193 138280
455 13675 108129
17060 9452 169625
11393 17153 89294
3779 14050 141393
16236 7279 107221
7662 18946 54526
10007 13671 160430
5528 18144 58265
17238 14090 16042
18874 3284 128860
7477 1288 73856
1881 15092 17034
5577 4193 6815
2489 1578 167049
9023 5879 39038
8213 13779 134026
19987 14863 31165
139 7714 139265
3142 12337 56160
130 19651 107549
17246 2558 56635
12000 10818 47943
11026 4193 58697
13275 5525 126300
16853 16320 82249
12968 1472 199268
4070 16769 10980
2155 2612 104254
210 12418 88881
1159 11118 98754
14242 9823 23253
1137 10316 16585
18838 15461 29920
14264 17611 140908
18402 13073 84244
6401 5159 101982
122 12314 69514
16997 14076 24877
5324 319 99356
6308 10825 150310
15825 2296 121268
6569 5914 140939
5168 19988 185352
11404 12948 485
4056 14932 65427
17130 16964 180263
3209 11033 137415
6335 7158 94561
18365 13661 141210
19463 6933 181691
13856 17686 57582
5295 63 136631
19932 8434 130970
10153 2952 71928
11832 16549 14451
2435 5640 72131
4481 3050 17355
18457 14663 141057
13412 14237 12930
3252 4677 65457
2455 9007 64176
8431 14467 119440
19629 14832 4912
10847 15995 63021
10710 15743 2719
19338 828 116141
14784 8337 142612
99 19997 36972
14459 6871 143782
5177 986 35918
15069 1446 49981
10960 4945 35997
6081 2797 125137
18708 6652 42134
11011 16046 1990
11858 9961 24504
5596 6385 48848
4592 9326 82997
17752 14352 83214
9520 9340 155497
5566 9073 42239
14406 1856 77665
4093 1272 144844
9005 8811 33121
17835 167 173254
4214 5792 47735
5254 15926 22535
14408 288 46593
3855 2232 55079
9629 15352 56121
1328 1901 89963
2438 16225 34860
3607 4139 182110
1984 1124 104429
11723 14812 120639
17353 15803 96496
2660 13979 187371
11861 10556 61399
5111 16373 150587
269 1089 162073
17611 5938 11700
9405 15663 44571
11388 5144 166207
16382 7157 172506
17257 10699 13774
7240 19160 168442
4187 16564 61862
16312 11718 117729
3659 1019 154979
13453 8170 14895
5825 16217 86784
8811 8576 174782
7715 19613 156982
4243 1918 75118
1337 8396 169895
7465 16347 2551
10615 9592 173962
14449 1373 191809
4921 7480 63409
895 2457 192627
18764 10574 108392
10999 2177 152968
18542 5102 161676
17702 1635 91338
11935 26 142152
1848 15301 26515
19466 9777 109488
18524 5390 199662
2211 19174 193040
10629 10997 98022
19780 3569 145781
11922 928 54975
12814 8600 167936
12262 18520 31441
9791 10666 13452
15236 16063 90425
15773 14215 43959
1087 9649 18802
7306 14839 104787
19328 14273 141946
15568 12727 131863
11893 2996 154001
16143 6992 189386
380 15591 45755
10568 1438 144779
8028 10549 118494
14785 1422 67562
9888 8122 70101
16148 19249 122289
10423 10428 156690
15677 12768 12701
17875 4992 148021
1835 6768 128156
9267 17317 49832
9930 13307 10000
14358 17905 146342
9755 1369 31545
15713 10460 18879
3004 2450 17709
171 362 6658
9480 372 29529
14526 2548 134359
2450 17096 877
3744 828 60540
9120 6236 22551
3384 13384 24940
10623 2702 103634
11333 16013 19541
3850 1574 78040
14719 2139 36218
8695 4310 164602
19807 460 61089
2406 3184 68664
17069 4889 127574
11248 7042 108310
14647 15347 77757
14168 12016 189388
17709 408 161262
19056 4041 26626
716 437 142424
526 14047 85258
19172 4297 137894
4374 3864 143031
17057 18408 26531
14289 14257 193997
5806 15320 98711
10313 5121 155812
627 1421 160926
9687 13395 66301
18495 19642 171053
14878 20 191267
17658 7547 90184
19718 4937 171540
19732 16966 23589
861 9342 108624
7618 6769 79467
19117 15714 124804
4750 2141 157352
15011 15898 55739
9582 16939 167819
18228 3650 57276
6395 13825 61263
12115 18635 150918
15193 3628 121777
15299 12875 87378
8049 11965 55868
534 1522 79378
2753 5418 125280
3296 7151 131587
17488 1331 199001
8074 19602 144155
16130 4528 4059
10273 15653 170014
2427 17727 160057
8952 16225 45931
10036 3310 173720
809 9479 141896
19522 9901 49233
4078 3532 70452
145 7716 137997
9088 821 187168
6304 15366 97625
13155 5289 154559
8542 9939 11742
11274 217 145867
11188 4861 102028
2442 15905 57161
2467 4581 165929
9841 15471 57747
14797 16103 127361
12630 1544 65333
8482 18139 122422
19726 10600 137200
6951 18073 97900
9956 17594 196772
13594 19781 91014
3418 11715 22386
16709 5475 14077
19454 15140 114728
1262 3591 120063
7955 2647 35581
8954 13618 179356
15532 1957 97376
17750 17735 182713
11969 6568 20603
13641 8978 29447
3702 12669 191781
768 6780 61361
4752 6580 113688
15853 15442 99217
8165 8760 82219
15403 10609 137295
14888 13738 198319
14341 2641 25279
1585 15814 171883
10770 2936 136606
14031 6512 1611
11336 18039 35273
19643 1131 26821
8033 16162 159632
11816 9415 39760
15601 5894 192627
15699 13158 181419
6478 19467 151091
10877 15156 190337
1375 13742 35342
14269 11024 113983
7269 18074 41917
12023 17452 33442
428 2471 72535
17932 9396 57990
1513 18023 119031
16949 548 14662
10968 10505 14322
113 4301 51645
11156 3982 192528
8427 163 16172
3113 3519 149388
11469 3617 175250
16826 19320 76681
17809 10445 188555
10314 1866 34131
19419 17824 119669
1775 15426 131009
15260 9551 26421
4757 1018 19867
4938 12976 149845
8674 13829 61029
1786 17073 132256
18126 1990 30359
19126 10336 75375
17422 2757 141310
5342 2644 11336
16845 1676 103417
5887 2887 59528
237 9030 76510
6652 7089 25656
4568 9972 16816
18026 1673 14404
19440 4729 14832
10470 18795 75697
18155 3182 93444
14004 3846 120150
6798 9333 108003
556 6369 10794
5037 19092 54936
15413 9311 415
15255 16208 35515
11865 18106 167165
2921 6250 151107
16625 1918 137116
548 222 64637
15265 7015 125739
4405 17993 22420
4763 8473 33535
3000 5785 82109
11153 16711 38782
11002 5291 80873
11907 1330 135079
11283 167 157006
14287 6706 198997
8937 16344 35635
1079 15110 79348
16207 12098 122637
2208 15533 79750
5846 10414 148049
12302 10040 154874
18979 6256 101970
15472 18117 8100
2724 17303 11534
16119 6097 71582
702 3940 73661
11474 14812 99368
3678 11428 120321
857 13087 198342
7834 9301 150177
4113 8740 15220
6269 16399 119241
8269 14567 57650
933 16763 11799
17416 17402 14843
6706 1094 187498
2150 13392 82288
3862 1320 183273
10172 3260 54661
8906 1259 114191
18449 15238 137205
4017 5539 12385
11129 12742 85655
1321 1176 143204
6712 10472 171151
17609 7856 190902
17801 16046 107832
8765 15879 110424
13328 17455 112831
2336 14237 79707
1000 15155 147094
19360 11880 190325
2395 11259 9964
13309 19054 159085
876 16899 9295
14593 16419 168165
17521 19603 30074
522 3968 153918
9529 4048 91989
8744 5028 123978
14504 14113 75328
17280 12043 43210
11939 18679 108401
16164 1174 113473
2315 4680 69665
12841 10281 188030
14316 18871 47025
1163 11824 144187
319 924 43386
13384 10004 126568
7989 14993 21541
8173 16980 14016
7257 3092 60418
7024 6732 60488
1081 8202 12299
8342 9118 146378
16908 2846 183480
5606 11782 30713
7924 14848 84115
6502 15569 164163
5719 1207 115069
19885 17249 184451
10139 772 16325
3870 19236 153379
12196 18766 196745
15630 8091 123144
5093 15550 41990
11722 2004 157040
12059 8572 175299
14257 1168 7889
8814 7471 68547
19614 18027 43099
19853 3866 114482
12276 12956 88381
4043 7920 159213
11518 7589 90173
19421 8175 73752
10062 3582 192846
14850 10243 80683
4670 10659 77044
4258 308 158759
567 1541 78616
17160 12442 156374
11699 18448 4260
1288 13231 21523
9463 8775 64270
12526 14699 182630
372 9408 61973
14093 5288 74381
3929 6981 176242
2397 19197 186419
2488 4169 98030
14559 4588 148377
14290 11275 12321
16805 10028 29725
11589 16489 26325
18099 243 55103
6011 8131 52418
2734 13012 11221
2635 16390 57388
13482 9248 149158
10440 16090 108817
11485 460 100414
3587 1964 93936
10116 8629 192071
10491 15043 48212
7768 19825 194420
1392 10224 1400
5407 6200 29061
9921 15224 150369
36 13532 95349
18032 15396 3471
19041 6022 159585
368 6607 53522
10026 14603 92646
10038 2515 80887
11353 12402 78355
16723 13242 96655
82 16105 72628
2576 14627 152003
14325 7867 162492
2475 4215 126974
15216 13130 19747
14976 14258 199704
1389 13952 192000
11824 4671 151698
17107 2437 130668
6417 8137 168264
15157 1384 151289
9095 2179 109557
12604 2095 14600
5056 18853 135188
2544 258 91598
6785 4680 183003
15586 19033 128658
19372 3020 29317
9208 5374 186667
9326 2964 103596
1684 5575 41874
4908 18516 154286
115 10990 12497
16479 433 144533
775 1886 167964
2780 14310 50953
11369 19549 91541
18454 4895 28277
5615 19064 58335
19228 12361 68723
16552 11938 132270
9752 14743 13223
8763 6158 89794
5261 12859 22030
633 5234 97712
2090 14762 56505
9400 16881 625
15441 5298 140602
10724 13399 93597
9420 8368 185776
14567 13750 98046
15077 5568 36984
12054 7248 183651
4702 18214 139645
4770 7164 108395
18414 517 115108
9499 1071 180776
1385 15207 184585
16857 3093 197900
18245 8206 113942
19783 9961 105865
4008 13163 46561
10355 5654 43986
4288 19507 27100
12183 94 50410
10946 1926 3205
15396 17068 73003
4815 16478 10334
19197 741 41776
2086 19864 134299
11418 6548 186958
14568 4806 149206
13450 6403 194450
3858 667 167795
3683 614 80603
5696 2819 137907
7940 14200 189717
8337 19057 8318
17410 3327 7079
19414 10428 95443
9568 10047 140317
16232 7124 10777
7023 4736 83870
17806 17676 62177
7041 464 41001
3533 18736 101432
6245 13199 73673
8983 10442 92121
382 17011 146336
7748 13531 167417
9350 9169 107255
5122 263 48990
18179 9578 108495
14038 10773 39822
4074 4970 197761
16823 12234 173181
19918 17364 828
18015 4755 96782
1177 11146 169582
8853 8799 148234
4659 8627 169628
17483 13222 70880
1104 15933 165310
14374 1694 171356
17194 13297 136168
17429 10649 37838
936 13454 96715
7853 11112 86318
892 4363 26454
6437 6033 198122
217 14032 31442
6981 13579 42268
1029 2449 187500
5757 3381 177576
11837 13433 188951
4216 3486 110655
8267 16890 75575
13855 6549 184128
8856 8604 164591
1665 8672 57326
12574 8729 166817
12686 1792 14085
